pl_hostname,pl_name,pl_rade,pl_radj,pl_massj,pl_masse,pl_dens,pl_eqt,pl_telescope,pl_facility,pl_disc,pl_discmethod,pl_pnum,pl_orbper,st_dist,st_optmag,st_teff,st_mass,st_rad,hip_name,hd_name,st_age,ra,dec,pl_pelink,pl_edelink,rowupdate
11 Com,11 Com b,,,,,,,2.16 m Telescope,Xinglong Station,2007,Radial Velocity,1,326.03000000,110.62,4.740,4742.00,2.70,19.00,HIP 60202,HD 107383,,185.179276,17.792868,http://exoplanet.eu/catalog/11_com_b/,http://exoplanets.org/detail/11_Com_b,2014-05-14
11 UMi,11 UMi b,,,,,,,2.0 m Alfred Jensch Telescope,Thueringer Landessternwarte Tautenburg,2009,Radial Velocity,1,516.22000000,119.47,5.016,4340.00,1.80,24.08,HIP 74793,HD 136726,1.560,229.274536,71.823898,http://exoplanet.eu/catalog/11_umi_b/,http://exoplanets.org/detail/11_UMi_b,2014-05-14
14 And,14 And b,,,,,,,1.88 m Telescope,Okayama Astrophysical Observatory,2008,Radial Velocity,1,185.84000000,76.39,,4813.00,2.20,11.00,HIP 116076,HD 221345,,352.822571,39.236198,http://exoplanet.eu/catalog/14_and_b/,http://exoplanets.org/detail/14_And_b,2014-05-14
14 Her,14 Her b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2002,Radial Velocity,1,1773.40000000,18.15,6.610,5311.00,0.90,,HIP 79248,HD 145675,,242.601303,43.817646,http://exoplanet.eu/catalog/14_her_b/,http://exoplanets.org/detail/14_Her_b,2014-05-14
16 Cyg B,16 Cyg B b,,,,,,,Multiple Telescopes,Multiple Observatories,1996,Radial Velocity,1,798.50000000,21.41,6.250,5674.00,0.99,,HIP 96901,HD 186427,,295.466553,50.517525,http://exoplanet.eu/catalog/16_cyg_b_b/,http://exoplanets.org/detail/16_Cyg_B_b,2015-09-10
18 Del,18 Del b,,,,,,,1.88 m Telescope,Okayama Astrophysical Observatory,2008,Radial Velocity,1,993.30000000,73.10,,4979.00,2.30,8.50,HIP 103527,HD 199665,,314.608063,10.839286,http://exoplanet.eu/catalog/18_del_b/,http://exoplanets.org/detail/18_Del_b,2014-05-14
1RXS J160929.1-210524,1RXS J160929.1-210524 b,,,8.00000,3000.00000,,1700,8.19 m Gemini North Telescope,Gemini Observatory,2008,Imaging,1,,145.00,,4060.00,0.85,,,,0.005,242.376268,-21.083036,http://exoplanet.eu/catalog/1rxs1609_b/,,2015-04-01
24 Sex,24 Sex b,,,,,,,3.0 m C. Donald Shane Telescope,Lick Observatory,2010,Radial Velocity,2,452.80000000,74.79,6.441,5098.00,1.54,4.90,HIP 50887,HD 90043,2.700,155.868210,-0.902244,http://exoplanet.eu/catalog/24_sex_b/,http://exoplanets.org/detail/24_Sex_b,2014-05-14
24 Sex,24 Sex c,,,,,,,3.0 m C. Donald Shane Telescope,Lick Observatory,2010,Radial Velocity,2,883.00000000,74.79,6.441,5098.00,1.54,4.90,HIP 50887,HD 90043,2.700,155.868210,-0.902244,http://exoplanet.eu/catalog/24_sex_c/,http://exoplanets.org/detail/24_Sex_c,2014-05-14
2MASS J01225093-2439505,2MASS J01225093-2439505 b,,,24.50000,7786.50000,,,10 m Keck II Telescope,W. M. Keck Observatory,2013,Imaging,1,,36.00,14.240,3530.00,0.40,,,,0.120,20.712243,-24.664049,http://exoplanet.eu/catalog/2m_0122-2439_b/,,2014-05-14
