pl_name,pl_rade,pl_masse,pl_radj,pl_massj,st_dist,pl_disc,pl_telescope,pl_eqt
11 Com b,,,,,110.62,2007,2.16 m Telescope,
11 UMi b,,,,,119.47,2009,2.0 m Alfred Jensch Telescope,
14 And b,,,,,76.39,2008,1.88 m Telescope,
14 Her b,,,,,18.15,2002,10 m Keck I Telescope,
16 Cyg B b,,,,,21.41,1996,Multiple Telescopes,
18 Del b,,,,,73.10,2008,1.88 m Telescope,
1RXS J160929.1-210524 b,,3000.00000,,8.00000,145.00,2008,8.19 m Gemini North Telescope,1700
24 Sex b,,,,,74.79,2010,3.0 m C. Donald Shane Telescope,
24 Sex c,,,,,74.79,2010,3.0 m C. Donald Shane Telescope,
2MASS J01225093-2439505 b,,7786.50000,,24.50000,36.00,2013,10 m Keck II Telescope,
2MASS J02192210-3925225 b,16.141,4417.83700,1.440,13.90000,39.40,2015,1.5 m CTIO Telescope,
2MASS J04414489+2301513 b,,2383.60000,,7.50000,140.00,2010,2.4 m Hubble Space Telescope,
2MASS J12073346-3932539 b,,1271.00000,,4.00000,52.40,2004,8.2 m ESO VLT UT4 Yepun Telescope,1150
2MASS J19383260+4603591 b,,603.87700,,1.90000,,2015,0.95 m Kepler Telescope,
2MASS J21402931+1625183 A b,10.310,6657.48000,0.920,20.95000,25.00,2009,10 m Keck II Telescope,2075
30 Ari B b,,,,,39.43,2009,2.0 m Alfred Jensch Telescope,
4 UMa b,,,,,77.40,2006,2.0 m Alfred Jensch Telescope,
42 Dra b,,,,,97.28,2008,2.0 m Alfred Jensch Telescope,
47 UMa b,,,,,14.08,1996,3.0 m C. Donald Shane Telescope,
47 UMa c,,,,,14.08,2001,3.0 m C. Donald Shane Telescope,
47 UMa d,,,,,14.08,2009,3.0 m C. Donald Shane Telescope,
51 Eri b,,635.66000,,2.00000,29.40,2015,8.19 m Gemini South Telescope,700
51 Peg b,,,,,15.36,1995,1.93 m Telescope,
55 Cnc b,,263.97850,,0.83060,12.53,1996,3.0 m C. Donald Shane Telescope,
55 Cnc c,,54.47380,,0.17140,12.53,2004,9.2 m Hobby-Eberly Telescope,
55 Cnc d,,1232.49300,,3.87800,12.53,2002,3.0 m C. Donald Shane Telescope,
55 Cnc e,,8.13928,,0.02561,12.53,2004,9.2 m Hobby-Eberly Telescope,
55 Cnc f,,44.81200,,0.14100,12.53,2007,Multiple Telescopes,
6 Lyn b,,,,,56.95,2008,1.88 m Telescope,
61 Vir b,,,,,8.52,2009,Multiple Telescopes,
61 Vir c,,,,,8.52,2009,Multiple Telescopes,
61 Vir d,,,,,8.52,2009,Multiple Telescopes,
7 CMa b,,,,,19.84,2011,3.9 m Anglo-Australian Telescope,
