dec,hd_name,hip_name,pl_astflag,pl_cbflag,pl_dens,pl_disc,pl_discmethod,pl_eqt,pl_facility,pl_hostname,pl_imgflag,pl_masse,pl_massj,pl_name,pl_omflag,pl_orbeccen,pl_orbper,pl_pnum,pl_rade,pl_radj,pl_ratdor,pl_rvflag,pl_telescope,pl_tranflag,ra,rowupdate,st_age,st_dist,st_mass,st_optmag,st_rad,st_teff,pl_pelink,pl_edelink
17.792868,HD 107383,HIP 60202,0,0,,2007,Radial Velocity,,Xinglong Station,11 Com,0,,,11 Com b,0,0.231000,326.03000000,1,,,,1,2.16 m Telescope,0,185.179276,2014-05-14,,110.62,2.70,4.740,19.00,4742.00,http://exoplanet.eu/catalog/11_com_b/,http://exoplanets.org/detail/11_Com_b
71.823898,HD 136726,HIP 74793,0,0,,2009,Radial Velocity,,Thueringer Landessternwarte Tautenburg,11 UMi,0,,,11 UMi b,0,0.080000,516.22000000,1,,,,1,2.0 m Alfred Jensch Telescope,0,229.274536,2014-05-14,1.560,119.47,1.80,5.016,24.08,4340.00,http://exoplanet.eu/catalog/11_umi_b/,http://exoplanets.org/detail/11_UMi_b
39.236198,HD 221345,HIP 116076,0,0,,2008,Radial Velocity,,Okayama Astrophysical Observatory,14 And,0,,,14 And b,0,0.000000,185.84000000,1,,,,1,1.88 m Telescope,0,352.822571,2014-05-14,,76.39,2.20,,11.00,4813.00,http://exoplanet.eu/catalog/14_and_b/,http://exoplanets.org/detail/14_And_b
43.817646,HD 145675,HIP 79248,0,0,,2002,Radial Velocity,,W. M. Keck Observatory,14 Her,0,,,14 Her b,0,0.369000,1773.40000000,1,,,,1,10 m Keck I Telescope,0,242.601303,2014-05-14,,18.15,0.90,6.610,,5311.00,http://exoplanet.eu/catalog/14_her_b/,http://exoplanets.org/detail/14_Her_b
50.517525,HD 186427,HIP 96901,0,0,,1996,Radial Velocity,,Multiple Observatories,16 Cyg B,0,,,16 Cyg B b,0,0.681000,798.50000000,1,,,,1,Multiple Telescopes,0,295.466553,2015-09-10,,21.41,0.99,6.250,,5674.00,http://exoplanet.eu/catalog/16_cyg_b_b/,http://exoplanets.org/detail/16_Cyg_B_b
10.839286,HD 199665,HIP 103527,0,0,,2008,Radial Velocity,,Okayama Astrophysical Observatory,18 Del,0,,,18 Del b,0,0.080000,993.30000000,1,,,,1,1.88 m Telescope,0,314.608063,2014-05-14,,73.10,2.30,,8.50,4979.00,http://exoplanet.eu/catalog/18_del_b/,http://exoplanets.org/detail/18_Del_b
-21.083036,,,0,0,,2008,Imaging,1700,Gemini Observatory,1RXS J160929.1-210524,1,3000.00000,8.00000,1RXS J160929.1-210524 b,0,,,1,,,,0,8.19 m Gemini North Telescope,0,242.376268,2015-04-01,0.005,145.00,0.85,,,4060.00,http://exoplanet.eu/catalog/1rxs1609_b/,
-0.902244,HD 90043,HIP 50887,0,0,,2010,Radial Velocity,,Lick Observatory,24 Sex,0,,,24 Sex b,0,0.090000,452.80000000,2,,,,1,3.0 m C. Donald Shane Telescope,0,155.868210,2014-05-14,2.700,74.79,1.54,6.441,4.90,5098.00,http://exoplanet.eu/catalog/24_sex_b/,http://exoplanets.org/detail/24_Sex_b
-0.902244,HD 90043,HIP 50887,0,0,,2010,Radial Velocity,,Lick Observatory,24 Sex,0,,,24 Sex c,0,0.290000,883.00000000,2,,,,1,3.0 m C. Donald Shane Telescope,0,155.868210,2014-05-14,2.700,74.79,1.54,6.441,4.90,5098.00,http://exoplanet.eu/catalog/24_sex_c/,http://exoplanets.org/detail/24_Sex_c
-24.664049,,,0,0,,2013,Imaging,,W. M. Keck Observatory,2MASS J01225093-2439505,1,7786.50000,24.50000,2MASS J01225093-2439505 b,0,,,1,,,,0,10 m Keck II Telescope,0,20.712243,2014-05-14,0.120,36.00,0.40,14.240,,3530.00,http://exoplanet.eu/catalog/2m_0122-2439_b/,
